,Name,Price,Kms_driven,Fuel_type,Year,Company
685,Hyundai i20 Era,550000,55000, Diesel,2018,Hyundai
686,Honda City 1.5,990888,700, Petrol ,2020,Honda
687,Mahindra Jeep CL,480000,25, Diesel,2020,Mahindra
688,Maruti Suzuki Gypsy,500000,258, Petrol,2018,Maruti
689,Maruti Suzuki Swift,390000,81152, Diesel,2011,Maruti
690,Toyota Fortuner 3.0,1750000,155000, Diesel,2015,Toyota
691,Hyundai i20 Asta,399999,83803, Petrol ,2011,Hyundai
692,Hyundai Creta 1.6,841499,75398, Petrol ,2017,Hyundai
693,Honda City ZX,1016899,42317, Petrol ,2017,Honda
694,Maruti Suzuki Swift,748599,60214, Diesel ,2018,Maruti
695,Maruti Suzuki Swift,622099,58861, Diesel ,2017,Maruti
696,Volkswagen Polo -,530699,27995, Petrol ,2016,Volkswagen
697,Maruti Suzuki Celerio,471899,61018, Petrol ,2017,Maruti
698,Maruti Suzuki Swift,505399,67109, Petrol ,2015,Maruti
699,Maruti Suzuki Wagon,460299,81811, Petrol ,2017,Maruti
700,Hyundai Verna 1.6,683999,27357, Petrol ,2017,Hyundai
701,Volkswagen Polo HIGHLINE1.2L,639699,53293, Petrol ,2018,Volkswagen
702,Maruti Suzuki Celerio,510499,45260, Petrol ,2017,Maruti
703,Hyundai Venue -,1185499,3139, Petrol ,2019,Hyundai
704,Maruti Suzuki Celerio,471899,44690, Petrol ,2017,Maruti
705,Hyundai Santro ASTA,579899,13858, Petrol ,2019,Hyundai
706,Maruti Suzuki Alto,333699,25256, Petrol ,2017,Maruti
707,Hyundai i20 Magna,385000,94000, Diesel,2012,Hyundai
708,Maruti Suzuki Ciaz,590000,44100, Hybrid ,2016,Maruti
709,Honda Amaze 1.2,375888,47000, Petrol ,2016,Honda
710,Hyundai Santa Fe,775000,126000, Diesel,2012,Hyundai
711,Mahindra XUV 500,778888,46000, Diesel ,2015,Mahindra
712,Audi Q5 2.0,1850000,75000, Diesel,2014,Audi
713,Volvo XC60 D3,1750000,86000, Diesel ,2012,Volvo
714,Volkswagen Polo COMFORTLINE,582899,15227, Petrol ,2017,Volkswagen
715,Volkswagen Polo -,414099,87375, Diesel ,2014,Volkswagen
716,Maruti Suzuki Eeco,516599,7679, Petrol ,2020,Maruti
717,Maruti Suzuki Alto,366299,48378, Petrol ,2016,Maruti
718,Maruti Suzuki Wagon,375899,54645, Petrol ,2014,Maruti
719,Maruti Suzuki Eeco,493899,7211, Petrol ,2019,Maruti
720,Datsun Redi GO,311399,37217, Petrol ,2017,Datsun
721,Maruti Suzuki Eeco,493899,32372, Petrol ,2019,Maruti
722,Maruti Suzuki Wagon,501999,37947, Petrol ,2018,Maruti
723,Hyundai Grand i10,409399,51886, Petrol ,2014,Hyundai
724,Toyota Innova Crysta,1737899,43187, Diesel ,2018,Toyota
725,Hyundai i20 Active,583999,33616, Diesel ,2015,Hyundai
726,Volkswagen Vento -,654299,91087, Diesel ,2015,Volkswagen
727,Ford Ecosport -,986699,26372, Petrol ,2018,Ford
728,Maruti Suzuki Celerio,414199,58762, Petrol ,2014,Maruti
729,Hyundai Elite i20,588099,101920, Diesel ,2016,Hyundai
730,Maruti Suzuki Swift,490000,44000, Petrol,2014,Maruti
731,Mahindra Scorpio 2.6,225000,85000, Diesel,2007,Mahindra
732,Maruti Suzuki Vitara,775000,64000, Diesel,2017,Maruti
733,Kia Sonet -,1050000,13000, Diesel,2021,Kia
734,Honda Amaze 1.5,425000,76000, Diesel,2015,Honda
735,Maruti Suzuki Alto,275000,45000, Petrol,2015,Maruti
736,Tata Nexon XZ,875000,63088, Diesel,2019,Tata
737,Maruti Suzuki Alto,250000,54123, Petrol,2013,Maruti
738,Hyundai i20 Active,567399,35140, Petrol ,2015,Hyundai
739,Maruti Suzuki Ciaz,805099,50842, Diesel ,2018,Maruti
740,Honda Amaze -,492199,43412, Petrol ,2015,Honda
741,Honda Jazz -,495799,46201, Petrol ,2016,Honda
742,Maruti Suzuki S,1113599,63626, Diesel ,2017,Maruti
743,Maruti Suzuki Alto,299999,18251, Petrol ,2016,Maruti
744,Maruti Suzuki Baleno,592099,41019, Petrol ,2016,Maruti
745,Renault Kwid RXT,322299,46463, Petrol ,2015,Renault
746,Renault Kwid -,481999,20110, Petrol ,2017,Renault
747,Hyundai Grand i10,534599,17364, Petrol ,2016,Hyundai
748,MG Motors Hector,1681899,6760, Petrol ,2020,MG
749,Maruti Suzuki Celerio,429599,35109, Petrol ,2016,Maruti
750,Honda Amaze -,723799,44266, Petrol ,2018,Honda
751,Volkswagen Polo -,563299,39156, Petrol ,2017,Volkswagen
752,Maruti Suzuki Alto,214199,57993, Petrol ,2011,Maruti
753,Maruti Suzuki Alto,319399,51573, Petrol ,2015,Maruti
754,Fiat Punto Emotion,180000,88000, Petrol,2011,Fiat
755,Hyundai i20 Sportz,415000,67000, Petrol,2014,Hyundai
756,Maruti Suzuki Swift,350000,73000, Diesel,2011,Maruti
757,Hyundai Elite i20,430000,39000, Petrol,2015,Hyundai
758,Mahindra XUV 500,450000,87500, Diesel,2012,Mahindra
759,Honda Accord 2.4,325000,86000, Petrol,2006,Honda
760,Hyundai Grand i10,565000,19900, Petrol,2017,Hyundai
761,Nissan Terrano XV,880000,22000, Diesel,2013,Nissan
762,Maruti Suzuki Vitara,810399,78329, Diesel ,2016,Maruti
763,Maruti Suzuki Ertiga,788999,61977, Diesel ,2016,Maruti
764,Mahindra KUV100 K6,508799,58640, Diesel ,2016,Mahindra
765,Renault Kwid -,457099,40650, Petrol ,2018,Renault
766,Volkswagen Polo -,612899,19121, Petrol ,2019,Volkswagen
767,Ford Ecosport -,684099,85893, Diesel ,2016,Ford
768,Renault Triber -,716699,9874, Petrol ,2019,Renault
769,Hyundai Grand i10,501599,25202, Petrol ,2016,Hyundai
770,Hyundai Grand i10,509699,95999, Petrol ,2016,Hyundai
771,Maruti Suzuki Alto,337799,49074, Petrol ,2014,Maruti
772,Hyundai Verna 1.6,852399,52439, Petrol ,2017,Hyundai
773,Mahindra XUV 500,1784699,10813, Diesel ,2020,Mahindra
774,Hyundai Creta -,778199,127971, Petrol ,2016,Hyundai
775,Maruti Suzuki Swift,705099,114108, Diesel ,2018,Maruti
776,Hyundai Grand i10,557599,52030, Diesel ,2017,Hyundai
777,Mahindra XUV 500,1518099,44721, Diesel ,2018,Mahindra
778,Mahindra Marazzo M6,1190000,50000, Diesel,2018,Mahindra
779,Skoda Laura Ambition,590000,95000, Diesel,2011,Skoda
780,Tata Harrier XZ,1980000,17000, Diesel,2020,Tata
781,Mahindra XUV 500,1350000,52500, Diesel,2018,Mahindra
782,BMW 5 Series,1059000,49000, Petrol ,2010,BMW
783,Maruti Suzuki Alto,185000,55000, Petrol ,2011,Maruti
784,Mahindra Scorpio 2.6,710000,81500, Diesel,2014,Mahindra
785,Mercedes Benz E,1948888,10000, Diesel ,2013,Mercedes
786,Tata Harrier -,2272499,22667, Diesel ,2020,Tata
787,Honda City -,626199,68519, Petrol ,2014,Honda
788,Tata Nano -,236099,64011, Petrol ,2015,Tata
789,Maruti Suzuki Alto,430499,13598, Petrol ,2021,Maruti
790,Maruti Suzuki Wagon,442799,47037, Petrol ,2014,Maruti
791,Hyundai Creta -,1373699,69711, Petrol ,2018,Hyundai
792,Hyundai Elite i20,589299,49189, Petrol ,2015,Hyundai
793,Maruti Suzuki Alto,298199,18368, Petrol ,2016,Maruti
794,Tata Harrier -,1508799,16874, Diesel ,2020,Tata
795,Maruti Suzuki Eeco,473699,24484, Petrol ,2019,Maruti
796,Maruti Suzuki Baleno,656299,20688, Petrol ,2019,Maruti
797,Maruti Suzuki Alto,345799,24065, Petrol ,2016,Maruti
798,Hyundai Grand i10,584599,22609, Petrol ,2018,Hyundai
799,Skoda Rapid -,786799,56523, Diesel ,2017,Skoda
800,Hyundai Elite i20,624799,48031, Petrol ,2018,Hyundai
801,Hyundai Grand i10,472399,45578, Petrol ,2016,Hyundai
802,Hyundai Fluidic Verna,408888,70070, Diesel ,2012,Hyundai
803,Hyundai i10 Magna,288888,28000, Petrol ,2015,Hyundai
804,Chevrolet Sail 1.2,198888,30030, Diesel ,2013,Chevrolet
805,Ford Endeavor 4X4,898888,25000, Diesel ,2011,Ford
806,BMW 3 Series,1148888,8000, Diesel ,2013,BMW
807,Chevrolet Spark -,79000,53000, Petrol,2010,Chevrolet
808,Honda City -,97000,68000, Petrol,2007,Honda
809,Hyundai Santro GLS,135000,58000, Petrol,2007,Hyundai
810,Hyundai Elite i20,687199,28648, Petrol ,2016,Hyundai
811,Hyundai i10 Magna,387099,59819, Petrol ,2015,Hyundai
812,Maruti Suzuki Baleno,650599,19574, Petrol ,2018,Maruti
813,Tata Hexa -,1705799,46337, Diesel ,2019,Tata
814,Volkswagen Polo -,526899,73563, Petrol ,2015,Volkswagen
815,Honda Jazz -,612799,51428, Petrol ,2016,Honda
816,Maruti Suzuki Alto,269099,95754, Petrol ,2016,Maruti
817,Tata Hexa -,1952199,34533, Diesel ,2019,Tata
818,Maruti Suzuki Baleno,646299,50154, Petrol ,2016,Maruti
819,Maruti Suzuki Celerio,425899,23492, Petrol ,2016,Maruti
820,Maruti Suzuki Celerio,496399,37739, Petrol ,2017,Maruti
821,Maruti Suzuki Celerio,393799,46178, Petrol ,2015,Maruti
822,Maruti Suzuki Baleno,619599,42893, Petrol ,2017,Maruti
823,Maruti Suzuki Alto,423599,57875, Petrol + CNG ,2019,Maruti
824,Hyundai Venue -,831999,4832, Petrol ,2020,Hyundai
825,Renault Triber -,695099,27805, Petrol ,2019,Renault
826,Hyundai Xcent S,390000,71000, Diesel ,2014,Hyundai
827,Toyota Fortuner 3.0,1350000,140000, Diesel,2013,Toyota
828,Toyota Innova 2.5,1350000,70000, Diesel,2014,Toyota
829,Honda City ZX,250000,75000, Petrol,2008,Honda
830,Maruti Suzuki Alto,145000,57000, Petrol,2009,Maruti
831,Maruti Suzuki Vitara,980000,57000, Diesel,2018,Maruti
832,Hyundai Creta 1.4,980000,91000, Diesel,2018,Hyundai
833,Hyundai i10 Sportz,195000,86000, Petrol,2009,Hyundai
834,Maruti Suzuki Alto,261499,68844, Petrol ,2013,Maruti
835,Honda Jazz -,649699,37070, Petrol ,2017,Honda
836,Hyundai Grand i10,494099,20393, Petrol ,2017,Hyundai
837,Maruti Suzuki Alto,313399,22244, Petrol ,2017,Maruti
838,Toyota Fortuner -,2122099,47024, Diesel ,2016,Toyota
839,Hyundai Elite i20,552799,64707, Petrol ,2015,Hyundai
840,Ford Ecosport -,490099,52149, Petrol ,2013,Ford
841,Hyundai Grand i10,638599,11203, Petrol ,2017,Hyundai
842,Maruti Suzuki Alto,374799,18071, Petrol ,2015,Maruti
843,Hyundai Elite i20,517499,81412, Petrol ,2016,Hyundai
844,Maruti Suzuki Swift,553899,41912, Petrol ,2016,Maruti
845,Maruti Suzuki Swift,579199,32516, Petrol ,2016,Maruti
846,Hyundai Grand i10,531999,41552, Petrol ,2015,Hyundai
847,Hyundai Grand i10,496199,21790, Petrol ,2018,Hyundai
848,Maruti Suzuki Baleno,659099,34010, Petrol ,2019,Maruti
849,Hyundai Elite i20,534799,50050, Petrol ,2016,Hyundai
850,Maruti Suzuki Ertiga,950000,2000, Petrol,2019,Maruti
851,Maruti Suzuki Swift,265000,71000, Petrol,2010,Maruti
852,Hyundai i20 Asta,650000,52000, Diesel,2015,Hyundai
853,Maruti Suzuki Swift,650000,35000, Petrol,2018,Maruti
854,Renault Kwid RXT,290000,41000, Petrol,2016,Renault
855,Tata Indigo LX,74999,125000, Diesel,2003,Tata
856,Maruti Suzuki Alto,155000,85000, Petrol,2006,Maruti
857,Chevrolet Optra -,69000,85000, Petrol,2005,Chevrolet
858,Hyundai Grand i10,496199,21790, Petrol ,2018,Hyundai
859,Maruti Suzuki Wagon,298599,75822, Petrol ,2011,Maruti
860,Tata Tiago -,490199,28589, Petrol ,2016,Tata
861,Renault Kwid -,422999,15883, Petrol ,2017,Renault
862,Hyundai Elite i20,656399,63648, Petrol ,2016,Hyundai
863,Maruti Suzuki Vitara,688599,156931, Diesel ,2016,Maruti
864,Maruti Suzuki XL6,1113299,13829, Petrol ,2019,Maruti
865,Maruti Suzuki Baleno,608399,28361, Petrol ,2016,Maruti
866,Hyundai Grand i10,587399,77960, Petrol ,2017,Hyundai
867,Maruti Suzuki Celerio,449699,33473, Petrol ,2015,Maruti
868,Maruti Suzuki Eeco,464899,29052, Petrol ,2019,Maruti
869,Maruti Suzuki Alto,302699,68041, Petrol ,2017,Maruti
870,Maruti Suzuki Baleno,583299,61361, Petrol ,2015,Maruti
871,Honda BRV -,877999,32218, Petrol ,2018,Honda
872,Hyundai i10 Magna,398499,28579, Petrol ,2016,Hyundai
873,Hyundai Grand i10,529399,51343, Petrol ,2017,Hyundai
874,Chevrolet Optra -,69000,85000, Petrol,2005,Chevrolet
875,Honda City 1.5,700000,86868, Petrol,2016,Honda
876,Hyundai Accent -,79000,85000, Petrol,2002,Hyundai
877,Maruti Suzuki Swift,390000,77000, Petrol,2012,Maruti
878,Honda City V,950000,35500, Petrol ,2017,Honda
879,Toyota Glanza G,725000,19942, Petrol,2019,Toyota
880,Hyundai i20 Sportz,439000,16000, Petrol ,2012,Hyundai
881,Honda City ZX,1069999,54000, CNG ,2018,Honda
882,Renault Kwid RxL,422299,17357, Petrol ,2019,Renault
883,Ford Figo Aspire,589999,14517, Petrol ,2017,Ford
884,Maruti Suzuki Baleno,661299,13517, Petrol ,2017,Maruti
885,Maruti Suzuki Wagon,429099,42302, Petrol ,2017,Maruti
886,Maruti Suzuki Celerio,389399,65783, Petrol ,2015,Maruti
887,Renault Lodgy -,629799,138716, Diesel ,2015,Renault
888,Hyundai i10 Sportz,397299,43339, Petrol ,2013,Hyundai
889,Maruti Suzuki Ignis,546399,19526, Petrol ,2018,Maruti
890,Maruti Suzuki Alto,412999,25673, Petrol ,2016,Maruti
891,Maruti Suzuki Celerio,402799,93304, Petrol ,2016,Maruti
892,Hyundai Creta -,915699,94409, Diesel ,2019,Hyundai
893,Maruti Suzuki Celerio,361499,66799, Petrol,2014,Maruti
894,Hyundai EON -,357899,27339, Petrol ,2016,Hyundai
895,Renault Kwid -,475399,9095, Petrol ,2018,Renault
896,Maruti Suzuki Eeco,485299,21934, Petrol ,2019,Maruti
897,Maruti Suzuki Baleno,643599,51706, Petrol ,2016,Maruti
898,Honda City ZX,1069999,54000, CNG ,2018,Honda
899,Honda City ZX,1069999,54000, CNG ,2018,Honda
900,Honda City ZX,1069999,54000, CNG ,2018,Honda
901,Hyundai i20 Asta,255000,90000, Petrol,2009,Hyundai
902,Tata Hexa -,1500000,85000, Diesel,2019,Tata
903,Mahindra XUV 500,650000,89000, Diesel,2014,Mahindra
904,Hyundai Santro Xing,175000,45000, Petrol,2010,Hyundai
905,Honda WRV VX,735000,34000, Petrol ,2018,Honda
906,Maruti Suzuki Wagon,438199,31281, Petrol ,2018,Maruti
907,Honda City -,924599,46312, Petrol ,2019,Honda
908,Hyundai Elite i20,664099,32989, Petrol ,2018,Hyundai
909,Renault Kwid -,462299,50599, Petrol ,2018,Renault
910,Honda Brio -,438499,26127, Petrol ,2016,Honda
911,Maruti Suzuki Vitara,680999,58118, Diesel ,2016,Maruti
912,Maruti Suzuki Alto,393199,23534, Petrol ,2019,Maruti
913,Maruti Suzuki Baleno,646799,58978, Petrol ,2018,Maruti
914,Maruti Suzuki Wagon,349999,33103, Petrol ,2014,Maruti
915,Maruti Suzuki Eeco,419599,14600, Petrol ,2018,Maruti
916,Maruti Suzuki Baleno,585099,26049, Petrol ,2016,Maruti
917,Ford Freestyle -,627799,33895, Diesel ,2018,Ford
918,Volkswagen Polo -,520799,32893, Petrol ,2017,Volkswagen
919,Maruti Suzuki Swift,410199,61717, Petrol ,2013,Maruti
920,Maruti Suzuki Wagon,404399,82334, Petrol ,2017,Maruti
921,Hyundai Verna -,682799,87381, Petrol ,2017,Hyundai
922,Land Rover Range,4490000,51000, Diesel,2017,Land
923,Honda City ZX,150000,85000, Petrol,2008,Honda
924,Porsche Cayenne Select,3300000,38000, Electric ,2011,Porsche
925,Toyota Innova 2.5,1175000,210000, Diesel ,2013,Toyota
926,Maruti Suzuki Ciaz,975000,24200, Petrol,2019,Maruti
927,MG Motors Hector,2000000,28000, Diesel,2021,MG
928,Mahindra Bolero ZLX,535000,135000, Diesel,2012,Mahindra
929,Ford Ecosport -,1045799,34642, Petrol ,2019,Ford
930,Maruti Suzuki Swift,410199,154104, Petrol ,2013,Maruti
931,Maruti Suzuki Alto,297299,61826, Petrol ,2016,Maruti
932,Tata Nexon -,980199,44751, Diesel ,2018,Tata
933,Honda Jazz -,794299,5183, Petrol ,2019,Honda
934,Maruti Suzuki Swift,411899,136082, Diesel ,2012,Maruti
935,Maruti Suzuki Celerio,557399,5817, Petrol ,2019,Maruti
936,Hyundai Creta -,896099,99138, Diesel ,2015,Hyundai
937,Honda Jazz -,637699,27936, Petrol ,2016,Honda
938,Maruti Suzuki Alto,254499,39845, Petrol ,2014,Maruti
939,Maruti Suzuki Eeco,457699,15615, Petrol ,2019,Maruti
940,Honda Brio -,361599,53158, Petrol ,2012,Honda
941,Maruti Suzuki Baleno,675799,16002, Petrol ,2019,Maruti
942,Maruti Suzuki Wagon,389499,31133, Petrol ,2015,Maruti
943,Maruti Suzuki Baleno,625599,20172, Petrol ,2016,Maruti
944,Volkswagen Polo -,686999,69653, Petrol ,2013,Volkswagen
945,Maruti Suzuki Celerio,425000,75000, Petrol,2015,Maruti
946,Renault Pulse RxL,350000,132000, Diesel,2012,Renault
947,Skoda Rapid 1.5,560000,84000, Diesel,2014,Skoda
948,Maruti Suzuki SX4,250000,147000, Petrol,2007,Maruti
949,Hyundai Santro GLS,90000,61000, Petrol,2008,Hyundai
950,Hyundai i10 Era,200000,56000, Petrol,2012,Hyundai
951,Mahindra KUV100 K4,325000,108000, Diesel,2018,Mahindra
952,Hyundai i20 Era,620000,55000, Diesel,2018,Hyundai
953,Volkswagen Ameo Comfortline,519699,26023, Petrol ,2017,Volkswagen
954,Maruti Suzuki Alto,324599,19805, Petrol ,2018,Maruti
955,Maruti Suzuki Alto,340199,41365, Petrol ,2017,Maruti
956,Ford Ecosport -,693999,90001, Diesel ,2017,Ford
957,Hyundai EON Era,310999,45285, Petrol ,2016,Hyundai
958,Maruti Suzuki Ciaz,722199,42441, Petrol ,2016,Maruti
959,Maruti Suzuki Celerio,485099,24342, Petrol ,2016,Maruti
960,Maruti Suzuki Dzire,614999,14308, Petrol ,2017,Maruti
961,Maruti Suzuki Vitara,1061399,32456, Diesel ,2018,Maruti
962,Maruti Suzuki S,879699,58448, Diesel ,2018,Maruti
963,Maruti Suzuki Ertiga,755199,86576, Diesel ,2016,Maruti
964,Ford Ecosport -,816399,50421, Petrol ,2018,Ford
965,Maruti Suzuki Eeco,414299,26035, Petrol ,2017,Maruti
966,Tata Tiago -,476299,23499, Petrol ,2018,Tata
967,Maruti Suzuki Baleno,572599,25636, Petrol ,2016,Maruti
968,Kia Seltos -,1644799,15023, Petrol ,2019,Kia
969,Mahindra Jeep CL550,440000,250, Diesel,2020,Mahindra
970,Volkswagen Vento Highline,575000,66000, Petrol,2015,Volkswagen
971,Toyota Innova 2.5,880000,85000, Diesel,2015,Toyota
972,Kia Carnival -,1500000,50000, Diesel ,2020,Kia
973,Hyundai Creta -,1000000,12000, Petrol ,2021,Hyundai
974,Chevrolet Beat -,86000,56000, Petrol,2011,Chevrolet
975,Maruti Suzuki Wagon,89000,53000, Petrol,2010,Maruti
976,Tata Nano CNG,90000,28000, Petrol,2014,Tata
977,Maruti Suzuki Alto,352199,22584, Petrol ,2015,Maruti
978,Maruti Suzuki Baleno,566899,22394, Petrol ,2017,Maruti
979,Maruti Suzuki Dzire,650699,93563, Diesel ,2017,Maruti
980,Maruti Suzuki Eeco,413399,10537, Petrol ,2017,Maruti
981,Ford Ecosport -,645799,81515, Diesel ,2016,Ford
982,Jeep Compass -,1551499,24676, Diesel ,2017,Jeep
983,Maruti Suzuki Alto,333699,11917, Petrol ,2017,Maruti
984,Maruti Suzuki Ertiga,811799,69654, Diesel ,2016,Maruti
985,Maruti Suzuki Alto,406899,16226, Petrol ,2017,Maruti
986,Ford Ecosport -,727299,8925, Petrol ,2018,Ford
987,Honda Jazz -,657399,27819, Petrol ,2016,Honda
988,Hyundai Grand i10,637599,26543, Petrol ,2020,Hyundai
989,Maruti Suzuki Dzire,623799,90088, Petrol ,2017,Maruti
990,Maruti Suzuki Eeco,422899,34258, Petrol ,2018,Maruti
991,Hyundai i20 Active,576099,101744, Petrol ,2015,Hyundai
992,Jeep Compass -,1987699,19830, Petrol ,2019,Jeep
993,Ford Ikon -,39000,73000, Petrol,2007,Ford
994,Hyundai Grand i10,475000,38000, Diesel,2019,Hyundai
995,Mahindra XUV 500,450000,87500, Diesel,2012,Mahindra
996,Maruti Suzuki Ertiga,650000,91000, Diesel,2014,Maruti
997,Maruti Suzuki Ritz,326000,76000, Diesel,2012,Maruti
998,Tata Indica Vista,170000,80000, Diesel,2011,Tata
999,Maruti Suzuki Eeco,250000,70000, CNG,2013,Maruti
1000,Maruti Suzuki Alto,88000,85000, Petrol,2007,Maruti
1001,MG Motors Hector,1652199,13636, Petrol ,2019,MG
1002,Hyundai Venue -,1217499,21393, Petrol ,2019,Hyundai
1003,Hyundai Creta -,1198299,76915, Diesel ,2017,Hyundai
1004,Hyundai Grand i10,590799,16300, Petrol ,2018,Hyundai
1005,Hyundai Elite i20,844999,40106, Diesel ,2019,Hyundai
1006,Renault Kwid RXT,328499,66461, Petrol ,2015,Renault
1007,Hyundai Creta -,769599,48182, Petrol ,2016,Hyundai
1008,Hyundai Elite i20,654299,41816, Petrol ,2017,Hyundai
1009,Hyundai i20 -,395699,73841, Petrol ,2012,Hyundai
1010,Renault Kwid RxL,294799,19908, Petrol ,2016,Renault
1011,Hyundai Elite i20,534499,26226, Petrol ,2018,Hyundai
1012,Maruti Suzuki Baleno,681399,43287, Petrol ,2016,Maruti
1013,Datsun Redi GO,415699,26527, Petrol ,2018,Datsun
1014,Maruti Suzuki Alto,300199,37801, Petrol ,2017,Maruti
1015,Maruti Suzuki Vitara,856699,54044, Diesel ,2017,Maruti
1016,Ford Figo Aspire,481399,29632, Petrol ,2017,Ford
1017,Mahindra Xylo D2,375000,115000, Diesel,2009,Mahindra
1018,Maruti Suzuki Eeco,525000,13000, Petrol,2020,Maruti
1019,Maruti Suzuki Swift,550000,42000, Diesel,2018,Maruti
1020,Hyundai i10 Magna,229000,65000, Petrol ,2014,Hyundai
1021,Maruti Suzuki Alto,275000,60000, Petrol,2014,Maruti
1022,Jeep Compass Limited,1750000,31000, Diesel ,2017,Jeep
1023,Jeep Compass Limited,1750000,31000, Diesel ,2017,Jeep
1024,Jeep Compass Limited,1750000,31000, Diesel ,2017,Jeep
